index;time[nano];pubW;privS;secret[ECDH]
0;8349643;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;036bd5e76fd726297a85eeb97705d71c42f41d823162b4c19179cc087df7d3;f416f9b86101334e196bc7b8fd6965e7c0ea80c0be835e9747278bde406a597d
1;6020010;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00b8ad38d89ebf687bf2e82f6a7c2254a179b248267460a45b010d3555496f68;9ede818d6cbeabca37e0db04aa2a86c0f3c60ef8854fd76e5745afe95f1ff10e
2;6925226;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00d1b0dc2a3b5fa7f346c389349b35dbcb159aae49e733feb35124b21940c2bc;2fc0b8533dd384c08ba294a6d43a96d5c37fa4fd52b6e3d6bccfa9d1ad005a0a
3;7077103;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;3cbebccfb8b7482edbeb4b8aaba83cbad6b0b268773e463fbcee88ccfe87f8;9b8d5d411327ecbd6ede1db5c45fbfdf96a28b1203e35fb164aefad4b080d0a5
4;6639357;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;7013998e38eaf46d90ed311a6b34daad3e1313e66b8eed6ba9ddb38196b908;cba0881b6afc0e4f892599cb187ca83b0da3bed421a1e852f4ec9d219bfb4073
5;6710030;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;009c30f6d148f52387f7a09678aece69e81b8bd86e10e2f8a5722287f7451635;c8c6bb24911ec3e88e21acf6ef5c0cb29572ca4c503c53da84d7b61d5bd9d251
6;6460681;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00a8dfcb6294db9014f1bba1bc21390c871b49c9501f6fc49ecd0e12c1cf3374;5b75e7b24ccf3ef5c89d0d0cb42bbec7b6901b3b0de1d6c40d528219c572ac76
7;10477555;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00b5f0c37bb0e223a189f321012776b798a185d7c0104747c5989150af3c9689;e50cf7eaacd84e16701a6dc704acc767a17627a61fb729794ff5f6a917633d29
8;4681024;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;47894969fdc924cd7d6b2c468915b9ae3efc0d4849e9444ced8b03aea7f4ae;e0379f453868fba2763b5694ddfa2a335113abacb1abf7fa0bf93ca05e4bf6d1
9;4169942;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00ca35c775c6636713eefae49e927def65034b95e09c35e278e1385f69eff53e;d9018a85c739b712ba77e7a0df15e655fe32c7918cd6de1ee6a2713ebc5d2a27
10;4165884;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;0094e2dff052925b2e4bdf289f673c2ec9df73f3094f0330ec890706830e61de;36c2b419623ee4bc3cd8b638017b66e70236d501c95fced514c01e533de37c85
11;3712018;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;587ef360e13867ca8042223a91b2d17ea912dc262c6a28971bb41ecf4951af;7ec12ad53adf43c680912fb870eedc9e2c73836230328214bf19d0de21dacea9
12;3935760;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00c3bf7902a007c375ef1dc08191523c38b1199b8c504d5eb3cace3e0b74a4c7;07161999ef695a54f43e63c34d702b1582ebd2ac089c8ec1de4ecbf115c914e1
13;3980695;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00c8fb6dbae4c7d5d4cd3d6c08ea5b6882f654d3e20107ffc94db48a21a7273c;7aee6e2ebe978007c832a6a9f1a125def6d599e3e30d63c0a5fe32ff788e23e2
14;3181208;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00a238836a330ab7444bf9f23745d1926e24699f56fdbe544823d24287d14224;39d10ad90724374f5b882f99576652f3f46c1b91902914df3e7f828dae011582
15;3333334;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;5bb3190a3510e3e8329b67c70756232691ad7205e530e6da7914fe506ab716;5bd55b1ee530a07a140df8c9caf16566017a52cab71fc0c1a3ee5437e4b370dc
16;3310212;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00d6714c5e20585f5fe3a650644ddf812c3c83368e076277892be2fdfa7671a0;f7eda17d32dc52666c7eb4a5071de0c8136647d4adc37520cddc912b27ff1664
17;3241792;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00ba8306475ad0f637449ff5659b2c89ad0b41d8f71c45e550ed60187b69be3d;179406369c2e51eef64ccfdec249d458330d646cb5dfaec1187d2916519e4314
18;2866324;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00b3179da97b7e0e9334ec4fe8e03d5ab6ccf77edd184f43c0499094fc0c04e4;211292a59065a71e92a42e8b8c9ecf012eb115c14f00b0dc28a4b5552463a42e
19;2781614;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;0654a49ff318cdece3a728c01432a29996e85e1ca79fbd8a04a0907992a023;4de03564b53e6ffb139e873c8575fd4a02c6d058cde501cb337a34fb8150eaf7
20;2788618;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00d0c8cc70916f05da043100e952801b0b0451418046fdbb33338e6609a58710;4de03564b53e6ffb139e873c8575fd4a02c6d058cde501cb337a34fb8150eaf7
21;2862056;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;008ec5d18579555164cea24c9e0ddcf41a747af697f4dcc14ec8aecf8a4ba70f;34c8dfc4c44868d429e197d02a6969ea0b54d84524245a2b38cc05bd901d74e2
22;2954720;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;7951708af66fe750ca2d4bc5f657cc4eb1f38d942ccc874ef1ad90ef09f77b;39d10ad90724374f5b882f99576652f3f46c1b91902914df3e7f828dae011582
23;3006769;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;5a688118a4f77ac7876425a8158d9f9b2504b2ba62e16d4acafa671fd896d8;2fc0b8533dd384c08ba294a6d43a96d5c37fa4fd52b6e3d6bccfa9d1ad005a0a
24;3139098;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;75675ee0b79b829fdd7e0c630b95de7cfa04735138064f1c2703d1c45f73b2;c1593e5814c379cc25c109861b1bdadb827c62d9b829b0d999d589c1d8998233
25;2893074;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;3b74f35767c4b7ab5071c58f1857899707b25640e7a748d780cee5ceb56978;a0b4f72062dafc2c5b4b8f71b491bc0b7c6294a5f3039f1e02dd9e9fee016428
26;3136043;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;48c61f81aaa64fcae20f31dbf79a7762e5860ae551d8b815b0485d75cc177c;9b8d5d411327ecbd6ede1db5c45fbfdf96a28b1203e35fb164aefad4b080d0a5
27;2976652;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;71ed7cb53954491a083bc2a6370aa9ee092fdb5e6ccfbc4e72c4ef8bc07b30;7ec12ad53adf43c680912fb870eedc9e2c73836230328214bf19d0de21dacea9
28;2804277;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00d180d855a233b423f226aaf3d842eeca87211cad6e413565decf9de049cdca;cba0881b6afc0e4f892599cb187ca83b0da3bed421a1e852f4ec9d219bfb4073
29;3571554;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;3a787f94bd8313233a45fb349d8c59819a6350577de9a1b8dfa05458c9aa33;34c8dfc4c44868d429e197d02a6969ea0b54d84524245a2b38cc05bd901d74e2
30;4282224;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00acaf12a70877de7529646f6130dabf68cb4a75627397a8a7493948b7f1c1db;4e4d37ae5ddc9dfcfc4268b260dfc5b91caf200dc15b8df3c45c71057a99ef1f
31;4604863;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00c058943543afdefb9043f65515625d9ffbc914adab45cff2bbe52f5d80334d;7be1eccea24221f507a848038191710b7111d94ca2e97beda5190af20fe91e9c
32;4238031;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;5cb4cd64fc0aa43fa7ed625ad75345f61b94834e005618705edbb145c1d58a;39d10ad90724374f5b882f99576652f3f46c1b91902914df3e7f828dae011582
33;4356905;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00add64c4c8c826daaee276c6d43915721aad62d70d781acbf480c657a4955e3;cbff49ff56fd99badf61607d39010cc071a6fd18a5d9ff2443e8925d8aed919a
34;4121911;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;0c25477920ad91a543a3df9649663603ac8281d792db26083e4b065470af9c;f24447bd71d6126cdc32028781f3070c7d6d3c944ce26f894d06ef42eaf453c0
35;4252357;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;0088c170734447c1fc78d2c72c6fd3fd91a3e08bdd15fac6e4ae0cb2d2be407d;2fc0b8533dd384c08ba294a6d43a96d5c37fa4fd52b6e3d6bccfa9d1ad005a0a
36;4211490;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;43ddad5dc48e16ddeb7515b944e6803fb16dc56c8337fb600ca7c6eba830a6;6216cf7462359094a6ec92d8098f8b2379543f8fd8c9aa9cad95fea1e7c05240
37;4355582;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;478ab44e2dfe2f6aeb5879c7378aaed3f395441bef2216346d447346bbc19e;7837cf908141b97225c3565bf3e119a68efaebe36cff775a14b344fbb86d8ba8
38;4015932;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;032c8b53bd1c6a1d844f1351ee53def499b1f68a8ad085e1e7f21bdd205a44;eaefbd40dba1c2b468a369cb2f40b35df85c2c884b511ba97e6b46076c543212
39;4117874;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;0a29dc758f6930314bcb641c4b2ab7761fc7b8bc9b16a8d5b6e6df15175773;f034cf56aac6910c6401923a43208dacf2a506660fbb95ab14c8e99cc9259e1e
40;4165684;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00d8a0d3675a84bea239c4ea27f8ef9b95aabcbc3fc90bd7a3236d55f392c791;b5b260c13ce70521c4d84acb66a1419606cc4eebf176c1e530d75520ecdc4f57
41;4165244;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00d59a94368d24ab44b2f830ef1b0655496172b2d89f0c7025810094ffc856d7;e0379f453868fba2763b5694ddfa2a335113abacb1abf7fa0bf93ca05e4bf6d1
42;4315757;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;46f672c5e3177afae8ca0e2ebc2ef11804e2ec48bd5745082ee1477ca509e7;aedf73217393a186bfe0be95e101302050160224831be0cdbbf5a51567df38f2
43;3589337;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;29206901059fce70817575dad00c16d121b7549dbc36485557c05614138529;737ce2b886da29ad2bfa96ee9f66d34a659983e15a37bb8657f953d4eb69ae30
44;3550063;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;5afcb9dc49d2f97a82a4b01ec4065f3ca1a01eb431015623e60acf9276e00a;4de03564b53e6ffb139e873c8575fd4a02c6d058cde501cb337a34fb8150eaf7
45;3423915;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;009e802d99e17fe3ca9efc66dce00fa7f3ded889b680e3a510f259974ec404a1;e8b2d7202123dbed4f437c9c04c0917595055993350f1b9efd8cf60e8968e121
46;3424947;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;6fc4b13f9c5001b0015dd5bab8ac27d25a18f0467dbf7ef0b13e9c6901fcd9;34c8dfc4c44868d429e197d02a6969ea0b54d84524245a2b38cc05bd901d74e2
47;3618583;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;08537a17fd1f26a49f1d41ddb920fc931151dab43ecec52918755f1d315ce2;b5b260c13ce70521c4d84acb66a1419606cc4eebf176c1e530d75520ecdc4f57
48;3507592;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;7f1c16327c3ec8e67b815b79f45110f37258edb4b6b2b18697e7b309f97300;869b73f1fac160791986c177893268ae9f66fe7a2b6dcb63d27491bbb2b59072
49;3475572;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00d89e5c607de4f76d92d38fcdac250dd99edc7688085409409989c1669cb0cb;da143e5adce0d7d5d802cec7f5bd1cb1aebd3c1f521683fb954d0b8368385cc2
50;3349946;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;07b675d2d5f5926eee0302014de4c6bb9901b494abf44a49abb6f449445de9;36dcc7a013ff9f73b720bcb53f0301c7d83cbbb7202ff32a6bda34cac049cde1
51;3475944;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;0a9a83d0c8a8bb70f2c35edeb5086e01fee1214fa5d67c994ec9c4b6638c54;b5b260c13ce70521c4d84acb66a1419606cc4eebf176c1e530d75520ecdc4f57
52;3196367;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;00d0e548aa12ec9607b7f1f50bf5ff0c3dd7fd206a9bc00fd26860038b04eb44;eaefbd40dba1c2b468a369cb2f40b35df85c2c884b511ba97e6b46076c543212
53;3591441;04c0232d6f3263707bb6c410069f64549123656e2ed3de9d7ad7926b3ad1017600bb40e762ccd65008b82d56075dbaf4a2ee70ce1db6cad812989e25da63af0911;28325d26c20bcc0bf55643aa832fdc32a1e2a3e068a0ab58fab118d75548d5;1d815ee1f84b930f0318f2c7a606c6b18a7bd9185019bbf4f483af60b0d48b79
