index;time[nano];pubW;privS;secret[ECDH]
0;7204341;04c7b3cd34083b9edb2e79b74129d38dba1e287c294fb5eefc5b88d0cdd53ee70c0d29c58435ab03277891c7c53f283e7f096a14da33303cfbd4f6934131c6cece;01b3ce55d2f496906c5f5a586449a229206539f63528b694343d7b9bc6cdcd23;070779f1e2761dbb001bae477704654c689669c72e5b61aa02f54519025f6762
1;7346028;04c7b3cd34083b9edb2e79b74129d38dba1e287c294fb5eefc5b88d0cdd53ee70c0d29c58435ab03277891c7c53f283e7f096a14da33303cfbd4f6934131c6cece;01dbc25db4070be35593402e86f2fe910aa31cff64d4da0dbdb9dc69fe340269;aa0c14874a8371bcd60a04ba09fd8706252bfc35cf066f19eee29125ebaca238
2;7478317;04c7b3cd34083b9edb2e79b74129d38dba1e287c294fb5eefc5b88d0cdd53ee70c0d29c58435ab03277891c7c53f283e7f096a14da33303cfbd4f6934131c6cece;06288d7fc8a8104d51b7c60a125fdd6935de2efcf43378efc03e3a237f99;ca4aeb63ab61eb0d14fe0db6905f51942667c051d16e776f85a70b63bfeeb626
3;7915997;04c7b3cd34083b9edb2e79b74129d38dba1e287c294fb5eefc5b88d0cdd53ee70c0d29c58435ab03277891c7c53f283e7f096a14da33303cfbd4f6934131c6cece;025e8b4474c1cfdf3a78ec2466d6f0bfca8b5f1f6e7a15d909a5c125be7e6b58;62266cfa377b86b2dcf4f022f9c04b0fae9cf1c5b3d6845e27270194f2593819
4;7299569;04c7b3cd34083b9edb2e79b74129d38dba1e287c294fb5eefc5b88d0cdd53ee70c0d29c58435ab03277891c7c53f283e7f096a14da33303cfbd4f6934131c6cece;0193bb7f44a2fdd920b7c1fd40b627cfca47a7314640fed5b262c0d63aa06124;9d26f812f3eb205fa04477f3255d7e6e5e359c78304507a85413667ae5b9e600
5;7422592;04c7b3cd34083b9edb2e79b74129d38dba1e287c294fb5eefc5b88d0cdd53ee70c0d29c58435ab03277891c7c53f283e7f096a14da33303cfbd4f6934131c6cece;031a4f347aca185f75d39f890f52de581e24bdf16588b3199259bc9faec569aa;ac1347d8577c38eadb696f8ff1dc6c8930ee73973c79c6961b2d883147b093f8
6;7384289;04c7b3cd34083b9edb2e79b74129d38dba1e287c294fb5eefc5b88d0cdd53ee70c0d29c58435ab03277891c7c53f283e7f096a14da33303cfbd4f6934131c6cece;01dbd668d8a9c25e0cdcfda84cce3c49a5e900509f560ffa79b42e21a180f3c4;c5f0cd5b6bdecd5aff8c7a802b6d1b2f2211d89fd66acff904b1cc3968096a34
7;7431719;04c7b3cd34083b9edb2e79b74129d38dba1e287c294fb5eefc5b88d0cdd53ee70c0d29c58435ab03277891c7c53f283e7f096a14da33303cfbd4f6934131c6cece;022744bfcd6b4a635e5389cda37cde908420513494c7f81e98829688fab51bb3;930ecbcb6b9871252c7cf8a1b006c589866355a49f094f83f5cbe7862229d0bb
8;7344123;04c7b3cd34083b9edb2e79b74129d38dba1e287c294fb5eefc5b88d0cdd53ee70c0d29c58435ab03277891c7c53f283e7f096a14da33303cfbd4f6934131c6cece;01e22e91894187cab2bfec438e41291edf6274ee5058a18b6b5f811911efcacf;99c95177c3a30a22bbed9285866e44a64d2085373040251027e8e519b9ed37d4
9;7389411;04c7b3cd34083b9edb2e79b74129d38dba1e287c294fb5eefc5b88d0cdd53ee70c0d29c58435ab03277891c7c53f283e7f096a14da33303cfbd4f6934131c6cece;01d604096ca6523891f8b66b73ce2715d575cbf8142677e3e5bbc12f8826a0ed;ed27305d85d7736fb55baeb6d376c2af9766ab5fef1cdc982e4e175da4424ec6
