index;time[nano];pubW;privS;secret[ECDH]
0;1647885;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;074873f9f619151d53633da8d65001d3a55b2a85d4acb99f0336c20f49e5d6d2;b410d72101b41ca48bc7e5b3fa5649d707943369527dbfc29613a84a889cef9c
1;1759564;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;241bdeb3edf33131e95be8d059214ae861d31daa0104595ea075d2ca0b7e49f2;d6ac0ac74d133464cc1d49a336ccea75729d5f19c1f35652ff71cabf85849914
2;1686107;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;392a6f20f77a503e457b77496c455426fa5f5606b8e3587f9eb16052187f57f3;38f58c2d85445c4feddc06c62bb511aed0352c1d5e0019be6364cd53303b7aac
3;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;362174c67b6c7c8a75a868fa4de13205c39a063a0c8d34e34c61723dee6ab898;0
4;1732785;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;026921b397cdb2e1da2c0add94bbccae17ea7ca876147970397b2fd075c55d48;b7c862bb89020e6a6e7741a984c38ed875dc14aa40ff63be71ca9f2622704dce
5;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;070f3a65001dbe91af58198c252db7e6914f7789b04e61f6d720639b0d0f19b2;0
6;1711495;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;2d7fff354c21d73892f975683289111a54e7e0bde80551734943de02c612c0f4;b410d72101b41ca48bc7e5b3fa5649d707943369527dbfc29613a84a889cef9c
7;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;04a52d413966c345c5607479c59552fae00e7728b5da782d24135cb8f2d5e25b;0
8;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;02f8bc3883a16db83b3364cb27d1c2de5d0ccaa64b75e23f1ecc935bed0bacb3;0
9;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;2e108d83a3a8bb9915b55a88b268e2fc872ca1657fefe8360acf090700b4dfbb;0
10;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;3f06317ff41f483e0b7b0c63c1f74e8ace3f9faceedef394265cfcb663e296d0;0
11;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;0e6d3357eb0e6da0e30a218b418d15ffabaa494eda80ca919fe4b5530085e015;0
12;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;1e8610ec1951eef6e0cb6c40bae063120c5c1fd4c7523a093b39bb662df6146b;0
13;1758202;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;36cce98d902bd0cbd7f9b9f7a3f348f6c73837a287bcd01e29379f9a8fdc8144;f958ab2702b809f35d41dbfee916a308f175f76298d50487d8d3b15ffaf2ea85
14;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;3c1947e24d489ed371d6ecfa2c3f00c63a4294c856f42d575919c9b42d1211e8;0
15;1707206;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;2e0a21b46ecbec303ad72fbfc40d5ac514a56d7d1a87e90d5a6fee89f0fc97d7;775b31bf48246bfaad0723bb0ededb3481c0d468dd2ebf145380553902e11b49
16;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;2edceebb2b1946386d107c1fbc5bbc687c76994c28cc1d83f61f95aebc391179;0
17;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;38e10393e8f388b1404cefa281b467366ee359a49d8c55b3ef7a28951c7e4231;0
18;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;04cb61654da24dbce07681c3e0795cb1007a06777960a268ef23d2c8e2608392;0
19;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;1bb9867d192f5f61a049e47048b56cebfe01988f0afae95bfc49fd63ea34f80f;0
20;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;3fc729ae093cedaf86652f0588caef2a94e9006d93ac829fa9596bd37fad87e2;0
21;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;25acdb4d3675ac6d36ffed4ef4130a706671c6fc3f9fbbb94ace291f305de9ec;0
22;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;1170bbe11695bdb038ea5d99f7a239da2d8187fb4798e5e4debaa6d00f88d254;0
23;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;204716211687cb03961a3da9fa9f8151aeb7d2af73b15a09ce7edf7e7492f5be;0
24;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;33ce495990c6923a90e963f32d58d2b95b4d8598f8f441f8cae9108dc8c3de1e;0
25;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;1fe3a06de04cdc5c9d16291ac6717377f0980347aeb5b98389403e857470a66b;0
26;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;1a8721bd638d56c8880f942bf2030608d839efdcef23681df15206b5c7e94374;0
27;1847520;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;1bbdc33ff9ce1e090af7ed4a2d2244b636431f6ab6887197fac102962699be0a;d80102829f4116886e7f9e2133f621f4d4d71641008797e2a8df7b7d7d06b77a
28;1704912;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;0ca88716d343e9b10f199290a9ca0881b1fe90539e83ea1c35fcce26d04c838d;1f5a507fa047e71d10cd8b27d1f48097f44eb46fa0dfed44d0789b3c2e69bef6
29;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;30070b3d121d4cd2b6c9db522f096dfa6a7f2d4b2e09fda7627e1359f941f810;0
30;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;1dd369ba78fb51939f78bd7fbc47a6b6bf6a8767b9dcb10c3101ea6a9a0c99e7;0
31;1750157;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;0a256b8150465c1e4592cdf827e3520de6e18a12fb4f3623bb3b364e8fe1d389;d7b0b2c0725c30b232e9c4ae2c5c9a3e666dbc439d56b61737386023a6354209
32;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;249384a1231003ed7fd060fe42a21cf9f8c541adc5cc1158faa3280235a1d36a;0
33;1767801;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;10cba94b8d36077ab0c9cbe13030da2665cdafbced19c0bca62b62f3acfac685;4b8abf5377701ee1ee943cd2baa3fdfaaecbf273d55508645849a9257d535e0f
34;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;33b1f0e4e29d40bd5c767b22b6678a7f71028a11aa8998490f9d403ba9e60123;0
35;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;236e12df3c4ee1053f783897a71e029535103ced8b15f54f338e472f8240d2d5;0
36;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;1a91563419742d89c65f7ea767a834c35679f02d851a41d62dd7065c15c86148;0
37;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;2cef0ecaf085321e1ccce814024ef9c21693510a9d96a05735e1409caa07a624;0
38;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;11db32364742163e79cd47b0947d8fe2dfc8c988ce7b6fe1872c38495cdcd2da;0
39;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;348712643e7842b6197bd02130e4b77ad8fe50a94a7bc7fa16a2d27e4a90085f;0
40;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;28e9d813f5e76c0eab9b3fd3f60c0aeebaa90bedd03aeebf9afabbef08635bb5;0
41;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;2155c2c8e6bf837f305f0a9ee4c104c7efc2b8ac27a1be9115bdfd6eb4d1a5d9;0
42;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;3bd115b9f4397c7f05a4038f46a1ceb9136ff79f92349814d1123f6ba3f359bb;0
43;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;10547e60e51a691f135780e9b2b1fd0d51b09713b69a551acaf2954877d386ae;0
44;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;31ca7cb22be49441daaa8a6e85b668576e0ff57f85b0927cef9f5222acbaeded;0
45;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;265d7d531d0dff1a745358bfc8204695f319b80249f33d579461ee90e365edf7;0
46;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;0a3f42e447f8f335d6a9f4605baad17efc7c40f4aaaed7889d512f7140c89e20;0
47;1502712;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;31b4e9c34c8759c9221852365cdc72bb0e80eac6931f1a3d01a02cbb6c5b8c32;338e9403bdeb2c88cba3685c164f4c3ee1ba3e9ec0f398eee7be8e85dcae3c67
48;1498535;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;31a81e94a219ffc9ca826e2bbf7b66c9fc6964054965d3fd0f61e39ad7187887;abd94edca54d853681caf071f954e95a84470e8b189e0109f77acef7bc021ff7
49;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;330b2b6278b8a422ced00b62bfcbe7ddb99fb864d39ccc5fc6e0d1daa079c4bd;0
50;1453079;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;0554fd6d48ab8ce2e80483787d3fd22ec5c4584174d2852ed30eff2e04ed739e;b7c862bb89020e6a6e7741a984c38ed875dc14aa40ff63be71ca9f2622704dce
51;1434975;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;13963899e64febe2c24e08738bf83ea5104acdab8d8011fd43003a834033aaf1;982e68ba81487be73e2c1de4fde2faa21816b6700211f6759f4910acf8a99815
52;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;15a912dc4883cea39fef84318cf9df86f849298f4de51be969fcdba01165ce59;0
53;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;2e4738d544a760a5d0bafc4034e5cde427e67482258a656dd151ed988e09eaaa;0
54;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;0f1bcf25da98c9f415f3369ae4f7668658b7a90b1cdb660af1b6364ea6969484;0
55;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;16ed2fe22a68899f113d4005a50cf9202ed81e13165c65c555ef67e2b872b7cb;0
56;1380112;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;1dc325df6840ad0f7c6c3db717d4cee646b13027ead5d110346772c28b42a159;38f58c2d85445c4feddc06c62bb511aed0352c1d5e0019be6364cd53303b7aac
57;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;260a8ee76127c5165d2a1c9d1c9da550b42a796bc182b7dd2f11e3d249c8c88b;0
58;1410219;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;130b5f8a0dfa423242cbe92beacff12391b2a41459e739aa81dc1ad937979dd7;2544355e09734fba3044dc98edadde1cc8c27c56366a1e53cc828793a4841571
59;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;18bbb9bc9b84e622ff3543fad6b4c765c2fe16c93b64d3f016f16a5cfa0341f6;0
60;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;3b52dc85f5fd2ee3dc40b8ed94608849ceb14165c2e578fce56608cd854f43bb;0
61;0;04351f43dce3f06599d59d5afede421c3490a11e173a432072de8a81080ee7e248983efbca5e57eaf38a6443b7983ba5c402e2d141d0c0d79df27ba01073b0e906;19c8e1a3fd6a82f2119d8a2e1fe5fba952cf5c597176673554c3d28bc9e0a8e8;0
