index;time[nano];pubW;privS;secret[ECDH]
0;0;04a62ce6b8c6bfeacab500982d3a6c87e973eefba80886b92a7e94fcc600ff3fb74e0e63a86999b374981d3cfa08fc0b639e0d9e3a928fc6e57375ce43b3bbf4c9;00c94a1bc52aab1e4ffb7d84e52305844c17ab50e4db4f889ea5c9737c76bfa204;0
1;0;04a62ce6b8c6bfeacab500982d3a6c87e973eefba80886b92a7e94fcc600ff3fb74e0e63a86999b374981d3cfa08fc0b639e0d9e3a928fc6e57375ce43b3bbf4c9;00f0d3a6dd6760b5a22cf84a5565ded6d7abc82dd55e97689b5a5d37415afcb3b0;0
2;0;04a62ce6b8c6bfeacab500982d3a6c87e973eefba80886b92a7e94fcc600ff3fb74e0e63a86999b374981d3cfa08fc0b639e0d9e3a928fc6e57375ce43b3bbf4c9;4111f9c06f5594a69d9423913bfdc332fb37aad65b2aace4ba7429f251336af9;0
3;0;04a62ce6b8c6bfeacab500982d3a6c87e973eefba80886b92a7e94fcc600ff3fb74e0e63a86999b374981d3cfa08fc0b639e0d9e3a928fc6e57375ce43b3bbf4c9;00b0a5cf124a00af86685824f9a5d535b4dce7c0a1e508fcff2b6661119a955366;0
4;0;04a62ce6b8c6bfeacab500982d3a6c87e973eefba80886b92a7e94fcc600ff3fb74e0e63a86999b374981d3cfa08fc0b639e0d9e3a928fc6e57375ce43b3bbf4c9;00d397ad59fb1ed35e52d071aa6b8b602725eb731918f148ae01a3928cd830699a;0
5;1892964;04a62ce6b8c6bfeacab500982d3a6c87e973eefba80886b92a7e94fcc600ff3fb74e0e63a86999b374981d3cfa08fc0b639e0d9e3a928fc6e57375ce43b3bbf4c9;00d530bddb0ac97f036596990f018937f3b260f920f8389390e605bfe78954e3f4;ca1b2b1662632892eb65236f96081241a645bd6c46864c1bf09420792dbec7de
6;0;04a62ce6b8c6bfeacab500982d3a6c87e973eefba80886b92a7e94fcc600ff3fb74e0e63a86999b374981d3cfa08fc0b639e0d9e3a928fc6e57375ce43b3bbf4c9;00cdf7ae77308201c5824c4f46256fd0a1a154476f8777e97bdee1124420b591af;0
7;0;04a62ce6b8c6bfeacab500982d3a6c87e973eefba80886b92a7e94fcc600ff3fb74e0e63a86999b374981d3cfa08fc0b639e0d9e3a928fc6e57375ce43b3bbf4c9;00a5e61ba0e670cc84b66634f122055a41d533721ec396b23afb13c0619b56fc86;0
8;0;04a62ce6b8c6bfeacab500982d3a6c87e973eefba80886b92a7e94fcc600ff3fb74e0e63a86999b374981d3cfa08fc0b639e0d9e3a928fc6e57375ce43b3bbf4c9;00c83f85239bc6539eb552e75e2a2463eedd6fd05851957bafad6fc686c3adb94d;0
9;0;04a62ce6b8c6bfeacab500982d3a6c87e973eefba80886b92a7e94fcc600ff3fb74e0e63a86999b374981d3cfa08fc0b639e0d9e3a928fc6e57375ce43b3bbf4c9;00e1c1c3d2abbee1152dc5cdaa1355ac79a1da6fe188d520b06a7a145dc9771491;0
