index;time[nano];pubW;privS;secret[ECDH]
0;486684;04702ef740f465c7e8e2731431ff25787bb70bca7c95b42504978b505f6720eb860873d9ba564e5d3bcdf070718616854b3bfce6aaff50fcdca68f94e5778dc194;05b0a8728c8ce98ee7dddd787313c8569e0880ecd8208632a44749eaee724af8;f4a16dc98ace4311874896ae798e5dc8bf123eda6eead87c104b3b55322501db
1;467559;04702ef740f465c7e8e2731431ff25787bb70bca7c95b42504978b505f6720eb860873d9ba564e5d3bcdf070718616854b3bfce6aaff50fcdca68f94e5778dc194;0f41af59495fc01a77c2f2ef3ebb52d3d9b01b41f26d83e9e606e8b410cf54;78a5bc930d1b2ace51dd726dc908489121bad584ecc38804fda8a918de8c106d
2;479401;04702ef740f465c7e8e2731431ff25787bb70bca7c95b42504978b505f6720eb860873d9ba564e5d3bcdf070718616854b3bfce6aaff50fcdca68f94e5778dc194;0e9521fbb3ca6c56cc7ef258f6306f39795b209c6fb1ab794a9ae74d3ff8ad3a;236e05c2a6b14d4baab5290879656466523bdc3368e0fd77d41ba069b2c111b1
3;701507;04702ef740f465c7e8e2731431ff25787bb70bca7c95b42504978b505f6720eb860873d9ba564e5d3bcdf070718616854b3bfce6aaff50fcdca68f94e5778dc194;0df4cb5e03a4b6a16156e131a66347fabadfab28305284986106a5e9e186efca;e9de3908d19b25e873ae98b3586b7f142844c555317ef01ec0f1f8a2b7e97b7e
4;509367;04702ef740f465c7e8e2731431ff25787bb70bca7c95b42504978b505f6720eb860873d9ba564e5d3bcdf070718616854b3bfce6aaff50fcdca68f94e5778dc194;0c922d92bc633e048a641538b5bab7f6ed6431884c720eabdfa9028ec0e35601;8e498e44db5df19f20cc37fcc987d2116ba6df0b91c2a13edc2ce39a57fdb036
5;480091;04702ef740f465c7e8e2731431ff25787bb70bca7c95b42504978b505f6720eb860873d9ba564e5d3bcdf070718616854b3bfce6aaff50fcdca68f94e5778dc194;09dc900dddf8eba127b7e2c9bd110ba0f73841c5022ac37f5d2ef7ec34dbbb0b;c27e9e8d3e7dcb861af4e13ded4d9645e8b9196862121c7a2cc589feb6c0d581
6;472537;04702ef740f465c7e8e2731431ff25787bb70bca7c95b42504978b505f6720eb860873d9ba564e5d3bcdf070718616854b3bfce6aaff50fcdca68f94e5778dc194;08c993a249f332e829d4020939d84385c73a8f0931bc181e4c4cda984853c947;a0c7d3f64897a7b63a896ab704d998d5f00071bc790d234eeae04b90a193dbe8
7;558599;04702ef740f465c7e8e2731431ff25787bb70bca7c95b42504978b505f6720eb860873d9ba564e5d3bcdf070718616854b3bfce6aaff50fcdca68f94e5778dc194;054f30af5f8d895b8b342dc1b9e85cabd7486a1d9dd70cb467bdb043b433b6a5;f65bdd49873fe4b62b722a86cd81cff741c0e89921681cbb778b8e0f88b6b5b1
8;521530;04702ef740f465c7e8e2731431ff25787bb70bca7c95b42504978b505f6720eb860873d9ba564e5d3bcdf070718616854b3bfce6aaff50fcdca68f94e5778dc194;0b308974ede34e598cb37f3610f90467ce618fc2e40cc235c96525482a5b7906;f4a16dc98ace4311874896ae798e5dc8bf123eda6eead87c104b3b55322501db
9;471936;04702ef740f465c7e8e2731431ff25787bb70bca7c95b42504978b505f6720eb860873d9ba564e5d3bcdf070718616854b3bfce6aaff50fcdca68f94e5778dc194;0fc6739051a38eaa4e967436c5fcbafac88f547455e583533a1e906850469749;0213b991a12bb2204168102360c6807eee73534843d646bbfadb12f570bbfdb1
