index;time[nano];pubW;privS;secret[ECDH]
0;859715;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;00884ca2f2ef25227d4d9cff9cce5ae19759895dfcf56ba434990213db36aaa6;6a933ca48b9189a3a0f10591235979fe9029a00f1ff17e947fc6204f7af59d5b
1;832985;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;57d8d95693664b8ec2ba5ab34917ba305617bfc14038d1e9cb0e68299390ca;2eab2f10289121786ec8b0c85b66f61488d7846aef6d789f5ed29ff099a2a222
2;809540;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;008f07e08c3f4343a97ffef8fc7efba06dc768e95ae1a03cc13f813e4ff6bede;bd61fca0ab113b9b4c89273eb596fdfa7165c7022e8566846b66e6dda660be6e
3;865095;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;1817b4d42050aee1d8ffde443b09e54c63b43afb21417521bf632bcf0d6b30;3d93d579aac2131e478fe4b817f4e12bf70fd988962286e6d57086cc5aec74d2
4;806835;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;51ff965b6edba1300294c2887a533ffd1c7e09cedd99226d2ca365a3b65bb1;bc6f7382f6ad3075e9e9de7ab994c3450e9040d4a530c4c244655d795f963b0b
5;834187;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;6d03a1bdad5ea4bfb80007686b6cd5935d725ed9b2d987c6bebb43fb220e18;d73d07b4ca6be7e5f5ea154c849657992d1f4c53c3dd5a50e7af2a84d113c25a
6;827956;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;00bc9932a28e123c23f3b9a2c2906aa0d3ab445867679d0699a917fad9b1405c;c62eaad0131d2535a1e9a49e701255117f91c3f8f5682335e0e391a8db7b2817
7;837704;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;009068c1be3e9be5da6c02b34f3931dc80b726105c5d6db12b8f9b4ecd5d7adb;d9bc2e0caadbeae7948231faacf67a1e15685a18cc004a0df67ff884893779a0
8;841030;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;1b0a4ab584022ba74f403012d6952ceab5bf1b8efd86aecbf18adbe2dcf531;39d5d503878ca30c0c1169c15153b7d59e7d562801b6ce59c015b0fdb13e1da1
9;826773;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;75739efeb06e07435f2229ebcde6c330ce1fdeb45154425c142eef5a824943;b7e35713b7cc994d3b5598507e43dadfb897459947b82371c83a700b9029c45f
10;847432;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;2b831c6564c8578aac8a20d8f8fc51681fe19970f29857cedb2fbad6280de8;6af0bebd4c5c2cf07520e69cee87340f9b650c745997a6801abc8a007c77346f
11;829839;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;2a99f93f80ddde1ddd60945642ed1e4bbecb53572e9965e968f06cef1d505f;843964b1a69b321361cd97f796ceafa2d5805d3a6acf9addf4c7146a06d93bb4
12;889440;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;00a20a7143866d1999de48eef51916884b35ab9229f14bc31ae2fc4566b9d420;8acfd0e0eb5b589a4d6f940a27227c9715bfc0544a84e8b90471084e8af9cea8
13;859956;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;51c4f91f9f02d91f83c78446c82cdafc8da7d3571f5cf76dd6283c0416e9f3;30e0b2876a47652c0747f161b48cbe314215dc01d603f5f36f95a0d6df0330c6
14;830029;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;04ffe5d9d144479a23df3e0c661496045f970606e7337dfce723f32a16090e;3d93d579aac2131e478fe4b817f4e12bf70fd988962286e6d57086cc5aec74d2
15;832033;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;5cec492b6cee2b7ff89ddb5c00e37dad2c774fd6de1af83e36b36b400ecac7;6c17cd0888ea999ff34af7ae6f56dad78d1ab9de85c8a3f31e5b4759f4d1b92a
16;824088;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;00b608bc5522f55ee7dae14ae4e10bf4b87c2a669063253cbad43c0f3be8db62;8c04b7e7d416323f219ae18cd8de93e5edfc252d76aeb853ab3cf72a647c3181
17;875675;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;77791764c4c0d257f3b8fa62ee222f087a6b8100ebef47fe185483bd6f6229;d73d07b4ca6be7e5f5ea154c849657992d1f4c53c3dd5a50e7af2a84d113c25a
18;866116;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;5fd5bbf6562a21f4ee4db5b4b36aeec7304fa74ff491dc05ef293184c60b4f;a81ec71e968acd9b2c36c718e4ae09059b5b587f9a0f19a3a2fbc07ee29c052e
19;854364;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;52a47f4c6d921fccfa3f69984c62ee72e4936e5858c0c9f514b6937f4aab0a;01b90da7925033739507a25bd0805745937faff8365bcf3063379e8e5d45df58
20;842723;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;00a2a2e4e4051cec973e3ded3eddc87956d6d51c0effa4d28050503e60a3ca9d;a82003eac809378f37687a77fee99814e53966ce6276a920a00f28291165f224
21;848764;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;323d47025a8fe58f2504dddb3751c5e71f0049507126b45e0045b1bd2ffd2d;cc6846c94e0c0ae18e1dcdbd4c2566a9d02b06b86d03a35d892e007c0b9cae18
22;846911;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;009fa21d1dde67b9f4f5bff012fc84eca5de343c3848a3ce6ac70d0cd80d2bb1;688a8dc0f404d4ae79807439f3eb46174108add7bfb655f754eac9b8c0b29193
23;849326;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;1a6401fd18c2918193bf1875ac397634e45ad48080ab22f3b7bef5b4ceb776;1d82630fdfa5261508c7929eca8db08c0ed2fe8e0e791044627e7b3808cc7a16
24;889501;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;0a13c66c609a5672684e864521f1592ff2defcfdbaabb3102798bcc4a0fe52;ab94ce4e1c90c53b986cdbb9fb1c432b586b7a0230c0531a8a23fb14a4dcbce1
25;878189;047a277a5debbf3da308d7cf83cb46ecaaa79c1b02bfd40ae3b911e879d576e9aa054946996938f9af0f326e109f44ab5317605cb1a1d59464f3a695c05a4904c9;5857fa6a1516c990eed3be9dbcea08e642f45ce16569ef8fe2d28ced3024e6;d73d07b4ca6be7e5f5ea154c849657992d1f4c53c3dd5a50e7af2a84d113c25a
