index;time[nano];pubW;privS;secret[ECDH]
0;1765454;043488b130bdb5e52056cc659910005c5f181dedde6612562a2d94e9348673edbcbf20dea353b21929d4f494e072fece389f5790f92a75aae6529c6deb13b5e952;008173743f84e64fba85c77c06b2dd231a12b49d04cfc776048455f20087d6a383;c09b5a55b66730fa3332317c512f81dba7d5ebbeee9e3f00aa4728feaa92b7eb
1;0;043488b130bdb5e52056cc659910005c5f181dedde6612562a2d94e9348673edbcbf20dea353b21929d4f494e072fece389f5790f92a75aae6529c6deb13b5e952;587d77c5f28676c95b45b93c830947eb8b480f4a710c02d5bda7c7e997f170ff;0
2;0;043488b130bdb5e52056cc659910005c5f181dedde6612562a2d94e9348673edbcbf20dea353b21929d4f494e072fece389f5790f92a75aae6529c6deb13b5e952;6810a84fa11134780105af7e22626155b02626e3a96620755ddeedbce4bb8ec2;0
3;0;043488b130bdb5e52056cc659910005c5f181dedde6612562a2d94e9348673edbcbf20dea353b21929d4f494e072fece389f5790f92a75aae6529c6deb13b5e952;00c281e54a2e12aa4cf5d7e9cd3a472ba1f553cd48bcc41cc623d0fa0685c254e1;0
4;0;043488b130bdb5e52056cc659910005c5f181dedde6612562a2d94e9348673edbcbf20dea353b21929d4f494e072fece389f5790f92a75aae6529c6deb13b5e952;138f768d44547715f96ada68b3f09a93b0159cd68d6e0cce593312c1fdce9174;0
5;0;043488b130bdb5e52056cc659910005c5f181dedde6612562a2d94e9348673edbcbf20dea353b21929d4f494e072fece389f5790f92a75aae6529c6deb13b5e952;7aea7dabde02ed4e2540d73f84fecaa5223f9301a04e2c2df3bff8e430f3afb5;0
6;0;043488b130bdb5e52056cc659910005c5f181dedde6612562a2d94e9348673edbcbf20dea353b21929d4f494e072fece389f5790f92a75aae6529c6deb13b5e952;00c26575a1ebef1046b5ce0572db5e3bb9f5c762dfdb5ed5bdbb193a41f7cc3948;0
7;0;043488b130bdb5e52056cc659910005c5f181dedde6612562a2d94e9348673edbcbf20dea353b21929d4f494e072fece389f5790f92a75aae6529c6deb13b5e952;4c4bafa6e784aa7c7d356f25bcc2431e770c47f5acd09bbf9cb8b922576cf8dd;0
8;0;043488b130bdb5e52056cc659910005c5f181dedde6612562a2d94e9348673edbcbf20dea353b21929d4f494e072fece389f5790f92a75aae6529c6deb13b5e952;009a1cc9cf8c881df1676deeab41f716b2c89b4d212b15a97f1228f32e2474c2f0;0
9;0;043488b130bdb5e52056cc659910005c5f181dedde6612562a2d94e9348673edbcbf20dea353b21929d4f494e072fece389f5790f92a75aae6529c6deb13b5e952;6d3d1dcc8db5f91a19432efa64d5e9d8137abcc5174207f2076ae3d0511eb7c4;0
10;0;043488b130bdb5e52056cc659910005c5f181dedde6612562a2d94e9348673edbcbf20dea353b21929d4f494e072fece389f5790f92a75aae6529c6deb13b5e952;5fcb39aa66d2d66365e41c0b865183ad7ba2961b46d39c7c639e03702380d33c;0
11;0;043488b130bdb5e52056cc659910005c5f181dedde6612562a2d94e9348673edbcbf20dea353b21929d4f494e072fece389f5790f92a75aae6529c6deb13b5e952;654ae5c911c785f6bb6313469da56418e8f98d197283be9be2a7e11f8b9129bf;0
12;0;043488b130bdb5e52056cc659910005c5f181dedde6612562a2d94e9348673edbcbf20dea353b21929d4f494e072fece389f5790f92a75aae6529c6deb13b5e952;009299f052ba964ef6a236b5c8a5ec8b6d4b5c51c6010616dc7ac794ec73ca48b1;0
13;0;043488b130bdb5e52056cc659910005c5f181dedde6612562a2d94e9348673edbcbf20dea353b21929d4f494e072fece389f5790f92a75aae6529c6deb13b5e952;71276780e8f67bb2714f85c388a483f24d097f13187fc1788b11cdbceb3029c4;0
