index;time[nano];pubW;privS;secret[ECDH]
0;334308;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;74e03b61eac8feae17f878572100b9da3fc327825c76c1582f33c978008044ed;76a5a6ceca2a5aa1c77a0daa8c6612393704f1038409588c328b89c6ee50b9d9
1;367540;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;2ca7c83930c7b3bec76a4d162f7178798faf0d54a15b82bc18d64e0444a59692;0ba2d4b2ec15f3eec60f977aa3b110c1cee478be0ae97a2e67d7b02227253c3f
2;338515;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;18c74093bc52a4a8774b8a4386cfd3ec0c39fa9abf414cbadd1a00b7951f7da7;230e00124647b8aa9e78ab3cddf1d562bc9bfb662866b712012c069953e43f04
3;408347;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;035eeb147618001906b51c8a55653cded098964f9c7642a46a2524aa996a3b69;a21f500ae0c2016eea64c5e6423f9b5732ace162a751ed123a08ad5d56b07781
4;395002;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;587f8563945242757b2af54650ee86ca0b51850b6be4701edb104c1748c51ce1;ed5fb03b7b3973fd7f5b30331925bae0774649591ea9f7058b149b5a38bed329
5;394290;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;1a758fd7fd054d08573af2b4c2d002d5c33dd66ec6770a04ea1df4409e18637f;07ea7e5aa126782b4a64ae76e6a4913573098651567b16ab5ce9be0e9a4cc766
6;390203;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;5a41d932c7e1cf6d88707b047dddf335e52ab8635a13312de2507b024f58bff9;42e21020ad446c9d88c1b6a4159c2cee48535fafc2bbcf793106f360956d0152
7;401895;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;6ec8964fdf46213bc43bdb082567001e3424e54920ea6a2e3867544a5e6bb625;7e04d412eef512c23551e4b5127925ad8caaa8244a707b8e39d39f8836cf2a92
8;381356;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;0954444bfaa8f99fec39af698d24fc93ba3836f197a9f7cf21651454fea51eda;3a71767612dcaff003f21514a02b8f3ad2dc52ee4880373a7a5930ebb1b2ecb1
9;395703;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;7411540595bcfc419ef767195367560ba28c18c2c715ed8924a2c4833812f39f;cab77a0002c1ce5ff155006442572ae04649481812e65f466f54602965e8d171
10;392888;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;5131661992913984aa8c0502810f333f1f17e918b6c35825b7093c1413f12abe;3a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e8
11;351320;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;7b1f3485017bec3b23d82af21db39fa536869705f323fe840c02ad7ba33c79f9;300c9ce8f95361db9e8e2b5b4a20cc7113cb4c14d5a1592cf9d85fa19731e376
12;352281;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;65672696f8792ff60c78b6c7b0e2b7dc5e9b4e716b8350cf961977f59dde43ca;fe327a8bbcfcd97c320adfb70ba282f56efbb9ae2ec87647e49bd14118fd081e
13;325141;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;749e0b2830ca23e55db3bcf100e593a7597262d3b87f937320fd5d18787b9f52;a0983e788d55c2dc3a00a5e4cb2e8df11c9fb6455422386f83202bc6d363e890
14;355177;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;1f7f8a9e76f5527b3beac800d13b5b2f27944189d5ba2cd6214e326c10971e11;aaa4d8e520106ee0f7feea7662370b2acbc33e4c401ba40dc668303273106a20
15;391185;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;2b48d2f5df8f427386b3224ff00bba59ca6e4b7506c81edb2d8b48d665ec966c;a34452c803ac8b5aacc6ba26d0794179329a8bbb2581534687df31101ceb1496
16;448272;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;7f2aab10c944896068e6efa56bced381ad98ebd60db3ce6c962ca1c88d611151;57853020520b9fe170d72eb696ff365339b9ad731e2cfda0a66f629645b99422
17;364465;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;39d8b9410264ad03470e70bf689e31c18db96b7ffcc790633160557b6947882c;300c9ce8f95361db9e8e2b5b4a20cc7113cb4c14d5a1592cf9d85fa19731e376
18;357171;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;38cdbe38de97afedbb4e50ddce2732336194b9ac40f694dddd8c6221e6cb0f16;596e41fc8069da18badedbd4ac591fcf3e2f299ec691ef726083a03796b9a5b5
19;324229;043a591ada3f9c7803e6da77cb1b9adfd349d80dfac04829b7ccbd0767b50006e80b5eb79cd757583bb44385e902b9dcf14a321f6cbbccaf83c631abe34f2e996d;2071835480e87eed55638c61041baac0903507b55356e94034d8bb1fe009c220;d1e7e66e1a2ba3406ad0bcbe6118a6c4e9a4940eec03d6ff207d8b09dbc8dcee
