index;signTime[nano];verifyTime[nano];data;pubW;privS;signature[SHA1];nonce;verified
0;989746;2482647;edf0c82897b15737fccc788a31c9661b;0463c5ee00408e406558bf6464ff527a68df59e835545f98a1e32f1c0d975bbee1a8ba23cbe701007e9ab5fd90d70a551c657b1c111706ee3fa5800b0a0a89b975;214a913e173798d5ed866837c7b47d9de7a4915bba397f759b3a5026dedb6bb4;3044022025d56237eb9df84ec64bf5f17c8776cbb83148f997f86aa66503e7b556c508fb02200ddf446270310d1dae57a3490d9b3fab6e75a23eec190a2af3eb50c580f91842;1036e41fd373f50946147d68dac6fb05a5cd290334fdab3aaacb8d55af2a38e7;1
1;650861;2059794;34da94dd88cbb2eca04d23eaaf4d4c9e;04063131e1ece11391bfa0a63af8d0b786652ef3a84eae1d6db1b14373abb6b05672d39068c286172e365f23a8036e8184b2b2e61aa46a39f2b22eecfc0aea85ce;26675400b504489f482a7d87c7b53ed89900f31d4f9eed30f3d7b31106a4511e;3044022007c476755e2588a2a4d67effab7f52d80f623ee7bb25832e29da46c3dfbab95302201c66784dbd15f752b9edf663871b17d6c5448f09099ec48c5181079f02e3dd6a;1075d0da7cc0d48a8e28c48ef480f3664283e559acbc7dffe12a01cac824a361;1
2;697949;2078599;a40544ba584c58269f099ff4188ca34d;0436039f3dfd5e6fc226f8ca3af0a78099a3370c7750d5451c91353a4a5299459e086c1146effab0488a43df60108cb8db25289073c2948ce64d656d82a496947d;14dcd1cba14d9b8e2483c2c99999c542fb09b03bd575a8941d766e91f16a39ef;3044022025536462c5720fc0cfcf487d34df595f3a18244a96c821b4cb36427eae75d6dd022006dabce93e8487eb74e0e60463f6dce18321b99b3419c3c0801ca0da9f321153;2050af7daa8a3eec022930d38941df98b14ecc532b4a99fa51d6cd0e5fb7f0b9;1
3;620143;2029727;0b617aa9f68fe8b7733a803c5a5fd613;048130cdf45fb6f6b742a6705b14d47601135c7a2e8d5f08e91f724d3187ba4326992160828e2a6057d0be30a78ece75a7c5da25e800c06069e28fc6c2e3ea6ef6;0e0ba080c6308c2389724a764eb1a2bd29f04dbfec188c4129d446354ea043e5;304302201c43dce2fceacaec9c0ab594263f063930a135daa0e5a30719b54c126e7915b9021f49934bf0e3491772fdb1ec8de724ed142bd669ac35e57a3ea5edc599d0b2d3;18697cc55a56e4fee145d1273d549074e75777736036e2c9e786ac09388566c3;1
4;580178;2063811;be323dab0c4de534cd2804da14b12835;04123bf1d9926bc172debdb11c2216747644c5c32b3864a33ef965e78c5f67f97a1c828be43f9b88129690306165d27285eefa359b613575289604b01c7bf9800d;0a69bad7c54930442a5ba580b1dd7843184b60dd919e7975483eeccc5cf52623;304402201a2fa2e3ba7491e186d672635a280ae9af3adacb34392b8280a73f10608ddcd4022004855ca0165f5de24130773db87c27a0cbc7d2b77ba7406e6a0bb79950787cee;18017dfcef16048387b936e9cfea040c135d71cfb202c9cc9c567c79e104e0eb;1
5;594735;2035528;4350f7c473f1893d3de5d5b753ab50b8;040bec7105120d9b20ea89de22c8c077cab8d29fcc42a70308d4ae2cda26481f94922e9de18257de269ca475944440b5233c06dd14b67a9a384a381d292a1b877d;06655ed73a37e3572f5948984a9ac453eeb1dc765dec59e5cdd67a02af107d6a;3044022003432e8793a468157691891a1808f8e2e6fcac994fed60c76e73b88cbbc3001e022003de55d1f3126ee7b58fa455ebc753b19ee154670f45f6107599253254b84432;1dd577d5787ae90c0a121ecf38037895049f0fdc9b9a68e048411888963fc0fa;1
6;615514;2037592;0f371b62ff3959d7afeef6175f0f9617;044f5cbcc955e7b9e5cebd67a8f1b16da1433089547ba727e36188fc8210280d0b8428082ec7f7e69b2a32b48518a3306be4c49399ebee25ccf75336f1c3920ee9;064e21c62608e31c40005819459d53411ef9d666e51ac72557fe38797cd2a883;304402201ee83cdd8bd2ff8fc6cf70e2f3159f05d8442d5ef4b80a0e3c9e7ae7238bf41a0220262a0023fdfdc7628da6e1931c8b52c3879dcd66913b8c9ea679a34f8e9f8b60;1718d384c304bb2986f35e3e9297327c522d57f25f147b3d02d6bf113fb79a7c;1
7;594786;1989732;8891d5a8ca2920830419a20a4a8bfdbc;041235cd1295422c9d79bc854780366a2e11e016645e9b76e1586f3237a3d7f14822ed937c2ee16af504a28024c76733be682eaddfe45e231d691bf837da5344dd;12fb387e76ddde5f5e94af715580fdb25b37b50bad3ce342eee5cc276775c638;30440220114c7392767b055a3f6e471d05c8d1eab89cba6833bc8f08343ebbb2c1674cb40220224ea884873801ccc591e0aafb45c1bd0045d666f0b5a7179d5ceb5a988b4c84;0f4f66ad6d456b35641d9e595fb6c498a4d773627e0d4ae7556245c72f4997b4;1
8;615975;1987198;fa038e44cf27c86d062f5684e331341e;0492ddf468914bf887a430c507d74c9bdb931b496f16bde1fdeea4b43bdbdc6f5340477f7d29119a3d3aa666eb6b2c318575ddc687ef8d6b755a200bbf02858a47;20439be1a9fe069aa36b7af339962671c5296c27918c0ec7ce25d349b82da8f4;304402201f6d3f9186003a25db4e95b207b4109a5c4ebc365657e8b0f4993a4bd8e45d9d02201792fda1919aa20ab27f6e891c465f9fad6c248282b170a206cd2fa964ab6e24;0f67daa457a4af2259b04b069d57318b5dc4c169e9a398df7867b3941e86d350;1
9;621617;2001514;35f3e1726094dbcfe10024209002d5dc;04969382cff8f3ee3de6b1e57120b92e1e306894f3dfc00ba8b6251e0b6a2855095d62309f09f22db3c2200a19e0d8499c33cf8f163da30e29179abbf679b47d69;16cc47c8a5cd902f0db50001e136e25590591cb3643dc34232366e4bef061aa1;30430220056213a4d7671b13b18d81fae4acc0b547e094b2207a27bec99a2c9a2fe36aeb021f12d0f3e8dc22ed82e7f83dcc14dfe63ba7f680f6a0e478e1c8d73b671b1278;1893de4e1e76570c02bcee206e3a6884bfaadc4845e6cf62e014017d1ad613ad;1
