index;time[nano];pubW;privS;secret[ECDH]
0;758884;046d584e94b1b8fbb132d09425fa0cd711fb149d65e6eb4c17123b5c50c3fd8e7d4239f08c3a5f4be4b85990ce86a3c6399a9edc8244a5e01d79ea0606d4cdc014;7da0dd61f94a71def2b44b780e03c48f005970482d6832d29a657ed15cb69960;8e9d8889945c42cfcad70a531f9e454e22c8e0ba769d75906ba66e775ac5fec2
1;769573;044a8eda91bc247f7df923546d31a5a4ed021485879d5eceaf7d5f6cb3389011c068a713e0ea33d895f52b072f406e00be1b85e4784c5dbc54cdb6fed2ce8473e2;00a98b20c2c2f14283ebc35c0e9dd182a4a8107f64d7ae392e034585e97e1e4650;a82465dab912482932d1bd420b3312034ef970b769b917e3beed845ea967afe3
2;978165;041046ad0019000720a79c1c398a5ee99be53c9a6a48a0e9b52ad28f9fa63143ab2f5c29b67cbab5f0f3db937e1fc8d661585722adb406dc8f490045ff8b6bedee;51763af9db05d176d3f0fe1834a3a5d53f74162c3b32da923433bf04183b4ff2;215dbf29cec6dc9971b87c0b6b14c75d1dfaffa48ddf6278711e181b3d97f329
3;919064;049d1aab4dfb3150fd8538f56cf1bdf21c95d344a9c2bb0f787f8ba119a04f521b54e0a26efe4f5c7862b9a666c89b35797dec4d44c8fb9a9d2e64b6e27c8f60ff;5e01b50f1fa51de08b9d897681fef94f3fbcf027cae6a2bccf065c691036ee06;1af21df7b76c257e4322f49fbc1a4c0c8d00469d2ad740fe8833e2fb02760aaf
4;751941;049ae8c6de2de3009f19bd5025aa7f990cd1b0f21f47114d2f7ce99edca97aea08011d14a8730aefb5e227313e8d8b0e2a204d21ad40d4752229a7bbc3062b58f4;1f57c3ce5f33bee2462b0ba7debdc0c69b4a18d019c25be33829fdb1793332a9;686fa9b52a4810fed1a00aed614a758f0550e84f7f25b15b59d71899b2586b4c
5;796675;0402bfd97e60581d002b2a05c7a8c5b28702f13d926b515695ba8cd1b4a1b30098a94636763c893043d058175facaf6581534ff43411c0369dbc5605999ea29e12;0de575932fde09ab787548a5b911f4f7c5babe088d5ac3fa4c7975577be64dee;a9a670d79309bc89592377c7d6bd71c157a6a7f72e01643557d4efb49c492f96
6;732745;041e17f7cfb14f4d1e986b5f8d7800f9e2a960cb294819fc3f9fcd76ecfc84bf3ca6cb2203cf46fcfad9907839775f9838280f9d3a1573b2884cd51ecf72405e30;54b63811344623fb7412660ecbc33e07b339f815350416b8cb7fcd1c1d8049c1;6a1a168b5d229216765c3e6e4993410bcbbbe5fc017c64ddc076d253be727c63
7;743535;04619ab976733a513fbea1a0e4c25e79981da6efa01fad3fe1c3d45b22da100640a7847eb111b72c8afbffe87404565677d288e2a1a4c9fd8a4d4b1720a253a184;5619d5eed012f386f7890d10ce00f14a16243592fbb5eb29e77dfbcd22bbe3d9;37e7767c5dac1c0cb07b8647b6ac29560cf8c92fbcb0402992cf14ef07427ef4
8;789981;04795181f6558c9672dbc41437e8e9925cacee4511790042f767c0a8040e588c1b74a75176ec3e2dcd7d37d97e716265e67d25f6cd952511d3d2da66749947da7e;20aa87fb5a9cf64a21e266942de2ceece8c10a0768efc49085656d609d69e60d;a575aa63af025fc6fd45eb3f31cb6b43e65ad4d5fa7728b028d8a88d0ec75c68
9;726263;04539a295522806a9a1bfc210f762e256c9a2614bb4b858e03e251347f2104416e9c31e71bada9f94b0634ec65c3f98894e2cc51761bf2f4c5209d3ce9270dd8f0;36fe030c97e80afc80068b35a3ad0b101b5752b1fdd9406a2959fbcbde99736d;8f107276fc9a4c04750c91736a435acc5715a761692e00bc6b8e90262ed79195
